OGLE-GD-CEP-0045	1	1.9306639	0.101	0.131	4.672	0.000	-99.99
OGLE-GD-CEP-0046	F	4.6621750	0.598	0.473	4.745	0.233	3.223
OGLE-GD-CEP-0047	1	2.0993886	0.192	0.096	5.121	0.025	3.989
OGLE-GD-CEP-0048	F	6.7168817	0.449	0.412	5.090	0.166	3.517
OGLE-GD-CEP-0049	1	1.6633722	0.311	0.203	4.472	0.054	3.114
OGLE-GD-CEP-0050	F	6.3273776	0.391	0.357	5.128	0.105	3.447
OGLE-GD-CEP-0052	1	1.5146353	0.190	0.203	4.685	0.032	3.416
OGLE-GD-CEP-0053	1	0.6029186	0.214	0.179	2.915	0.194	0.648
OGLE-GD-CEP-0054	F	4.9782640	0.372	0.369	4.763	0.148	3.392
OGLE-GD-CEP-0057	12	1.2886245	0.212	0.167	4.325	0.041	2.571
OGLE-GD-CEP-0058	1	2.7980303	0.176	0.034	4.111	0.047	4.764
OGLE-GD-CEP-0059	1	1.8233091	0.219	0.133	4.914	0.000	-99.99
OGLE-GD-CEP-0060	F	1.9194476	0.654	0.481	4.224	0.304	2.360
OGLE-GD-CEP-0061	F	2.9508269	0.451	0.400	4.505	0.206	2.761
OGLE-GD-CEP-0062	F	2.4838084	0.589	0.518	4.427	0.304	2.709
OGLE-GD-CEP-0063	F	2.4269339	0.655	0.498	4.298	0.275	2.493
OGLE-GD-CEP-0064	F1	2.5464689	0.015	0.000	-99.99	0.000	-99.99
OGLE-GD-CEP-0065	F	10.2057823	0.389	0.195	4.886	0.026	1.099
OGLE-GD-CEP-0066	1	2.3122057	0.282	0.143	4.726	0.031	3.909
OGLE-GD-CEP-0067	F	7.4574092	0.255	0.274	5.423	0.025	4.021
OGLE-GD-CEP-0068	F	1.6519571	0.312	0.362	4.273	0.172	2.471
OGLE-GD-CEP-0070	F	7.0969879	0.315	0.319	5.415	0.098	3.790
OGLE-GD-CEP-0071	1	1.8465332	0.249	0.172	4.483	0.016	3.479
OGLE-GD-CEP-0072	F	3.4546830	0.709	0.502	4.560	0.322	2.904
OGLE-GD-CEP-0073	1	1.1499309	0.188	0.175	4.259	0.057	1.740
OGLE-GD-CEP-0074	1	2.7010431	0.203	0.076	4.540	0.000	-99.99
OGLE-GD-CEP-0075	F	3.9381190	0.432	0.404	4.699	0.193	3.048
OGLE-GD-CEP-0076	1	3.0103374	0.220	0.075	3.249	0.039	5.894
OGLE-GD-CEP-0077	1	2.2195577	0.248	0.124	4.728	0.000	-99.99
OGLE-GD-CEP-0078	F	2.7454874	0.230	0.320	4.479	0.102	2.807
OGLE-GD-CEP-0079	F	3.1717753	0.380	0.410	4.548	0.192	2.875
OGLE-GD-CEP-0080	1	1.1167826	0.178	0.154	4.026	0.035	1.346
OGLE-GD-CEP-0081	1	1.8076638	0.270	0.197	4.513	0.022	2.309
OGLE-GD-CEP-0082	F	4.5075169	0.333	0.367	4.780	0.116	3.332
OGLE-GD-CEP-0084	1	2.1152526	0.251	0.135	4.672	0.018	3.614
OGLE-GD-CEP-0085	F	4.4634790	0.593	0.450	4.705	0.257	3.102
OGLE-GD-CEP-0086	F	4.4966498	0.596	0.446	4.672	0.232	3.008
OGLE-GD-CEP-0087	1	2.8700914	0.146	0.043	4.326	0.000	-99.99
OGLE-GD-CEP-0088	F1	3.6948796	0.298	0.234	4.402	0.046	2.199
OGLE-GD-CEP-0089	1	1.9752485	0.228	0.123	5.016	0.021	3.784
OGLE-GD-CEP-0090	1	2.1074320	0.188	0.128	5.170	0.054	4.580
OGLE-GD-CEP-0091	F	3.2877666	0.430	0.438	4.528	0.217	2.860
OGLE-GD-CEP-0092	F	3.4960122	0.568	0.486	4.567	0.291	2.902
OGLE-GD-CEP-0093	1	2.5152386	0.158	0.111	5.078	0.000	-99.99
OGLE-GD-CEP-0094	1	0.6583659	0.168	0.173	3.325	0.095	1.049
OGLE-GD-CEP-0096	1	1.7558521	0.297	0.223	4.403	0.073	2.933
OGLE-GD-CEP-0097	F1	2.3110911	0.424	0.332	4.347	0.124	2.381
OGLE-GD-CEP-0098	F	3.0711502	0.471	0.409	4.426	0.218	2.630
OGLE-GD-CEP-0099	F	5.6480223	0.545	0.402	4.546	0.168	2.741
